status,product_area,response,justification,request_type
escalated,team_and_enterprise_plans,"Thank you for contacting us. Your request requires review by our support team. When a member is removed from a Claude team workspace by an admin or organization owner, their access is immediately revoked, and their seat becomes available for reassignment. Only organization Admins and above can manage member access through the Organization settings.

Since you're not the workspace owner or admin, a member with the appropriate administrative permissions will need to re-add you to the organization. Please reach out to your IT admin or organization owner to request reinstatement to the team.

Our support team will follow up with you to assist further if needed.","The ticket describes lost workspace access after seat removal by an IT admin. The support documentation on managing team members indicates that when members are removed, they lose access immediately and only admins/owners can manage membership. However, the documentation does not address whether support can directly restore access for non-admin users or what exceptions exist. Since this is a member access control issue requiring administrative intervention, and the user explicitly states they are not an admin or owner, the proper resolution requires organizational admin action or escalation to verify the legitimacy and status of the access request.",product_issue
replied,,"I understand you're disappointed with your test score and the hiring outcome. Unfortunately, I'm unable to help with this request. Here's why:

HackerRank does not participate in hiring decisions, review individual candidate answers, adjust scores, or contact employers on behalf of candidates. These decisions remain entirely with the recruiting company.

If you believe there was a technical issue that affected your test performance (such as a frozen editor or failed submission), you should contact the recruiter or hiring team directly to report the issue. They can decide whether a retest is appropriate based on their assessment of what happened.

For questions about your test experience or grading, please reach out to the company that invited you to take the test—they are the best resource to review your performance and discuss next steps.

If you encountered a technical problem during testing and would like to report it, the recruiter can escalate it to HackerRank Support with details including the test name, approximate date and time, and a description of what happened.","The request asks HackerRank to review candidate answers, increase a score, and contact the employer to move the candidate forward—all of which are explicitly outside HackerRank's scope. The support corpus document ""Ensuring a Great Candidate Experience"" clearly states: ""HackerRank does not participate in hiring decisions. The HackerRank team is not authorized to share test results, reschedule assessments or interviews, grant testing accommodations, or modify your hiring workflow."" The ticket involves a hiring decision dispute that must be handled between the candidate and the recruiting company, not by HackerRank support.",invalid
replied,dispute_resolution,"I understand your frustration with the wrong product and unresponsive merchant. However, I'm not able to directly process refunds or take merchant enforcement actions. Here's what you should do:

1. Contact your bank or card issuer immediately using the phone number on the back of your Visa card. They handle dispute resolution and can initiate a chargeback process on your behalf.

2. You can also report concerns about the merchant by filling out a form at visa.com - search for ""Report a purchase issue.""

3. According to Visa's dispute process, when you contact your issuer, they will ask you for detailed information about the transaction. Be prepared to provide transaction details and document the issues with the merchant (emails, product photos, etc.).

Your card issuer is best positioned to investigate this matter and determine whether a refund or chargeback is appropriate. They have direct access to your account and the transaction records.","The ticket describes a merchant dispute (wrong product, unresponsive seller) and requests Visa to process a refund and ban the merchant. According to support.md FAQ, dispute charges must be reported to the cardholder's bank/issuer, not directly to Visa. The Visa Consumer Support page explicitly states: ""To dispute a charge, please contact your issuer or bank using the freephone number located on the front or back of your Visa card."" Additionally, support/small-business/dispute-resolution.md documents that disputes are ""the reversal of the value of a transaction by the card issuer to the acquirer"" - disputes are handled by the issuer, not Visa directly. The support.md also notes that ""Visa does not set up, service or have access to cardholder or merchant accounts. This is done through our client financial institutions (the banks)."" The request for Visa to ban the merchant is outside Visa's direct consumer support scope and is not covered in the support corpus.",product_issue
escalated,mock_interviews,"Thank you for reaching out. I understand your mock interview stopped in the middle and you're requesting a refund. 

I need to escalate your request to our support team so they can properly investigate the technical issue with your interview and review your refund request. The specific circumstances of what happened during your interview (such as whether it was a connection issue, system error, or other technical problem) will be important for our team to assess your case fairly.

Please contact our support team directly at help@hackerrank.com with details about which type of mock interview you were taking, when it occurred, and what happened when it stopped. Our support team will promptly review your request and work toward a resolution.

We appreciate your patience and your interest in using HackerRank Community's mock interviews.","This ticket describes a potential service malfunction (mock interview stopping mid-session) combined with a refund request. According to the corpus, refunds for mock interview purchases are handled when users contact help@hackerrank.com with their request. The refund policy document states: ""If you accidentally make a purchase or are not satisfied with your mock interview, contact help@hackerrank.com. The support team will promptly review your request."" Additionally, the subscription cancellation policy notes that ""HackerRank does not issue refunds for voluntary cancellations. Refunds apply only to system-related issues or severe service disruptions."" Since the ticket describes what appears to be an interruption or technical issue during a mock interview, this warrants direct investigation by the support team rather than a standardized response. The exact cause of the interruption (user-initiated, network issue, system error, etc.) cannot be determined from the ticket alone, and the documentation does not provide specific guidance for handling mid-session interruptions or what happens to credits in such cases. Escalation is appropriate to ensure proper diagnosis and fair resolution.",product_issue
escalated,"Subscriptions, Payments, and Billing","Thank you for reaching out. I understand you're experiencing a payment issue with order ID cs_live_abcdefgh. Based on our support documentation, payment issues require individual account investigation that I cannot perform through standard support channels. Your issue has been escalated to our payments and billing team for further investigation and resolution. A specialist will review your account details and contact you shortly with next steps.","The ticket describes a payment or billing issue requiring account-specific investigation (specific order ID mentioned). The support corpus documents general refund policies (refunds for incorrect deductions are processed within 5-10 business days per Payments and Billing FAQs) and notes that refunds for voluntary cancellations and mid-cycle upgrades are not issued. However, without knowing the specific nature of the payment problem, the account status, the transaction details, or whether the charge was disputed or incorrect, a safe and adequate response requires access to account records and payment processing systems that are beyond the scope of standard documentation. The ticket cannot be properly addressed without specialist review of the order ID and account history.",product_issue
replied,Out of scope,"Thank you for your interest in using HackerRank for hiring. However, your request to help fill in infosec (information security) forms for your company is outside the scope of HackerRank support. 

HackerRank is a skills assessment platform that helps you evaluate candidates through coding challenges, technical interviews, and other assessments. While HackerRank takes data privacy and security seriously and adheres to industry-standard security practices, completing your company's internal infosec or vendor compliance questionnaires is not something HackerRank support can assist with directly.

For compliance and vendor assessment inquiries, we recommend contacting your HackerRank account manager or reaching out to support@hackerrank.com to discuss your specific security and compliance requirements. They can help provide you with relevant security certifications, attestations, or documentation that may support your company's vetting process.

If you have specific questions about HackerRank's features for hiring, platform setup, or how to get started with assessments, our support team is happy to help.","The ticket requests help filling in infosec (information security) forms as part of the company's own vendor vetting process. This is outside the scope of HackerRank support. While HackerRank has information about its own security practices (documented in general-help/hackerrank-ai-data-services/4425890244-hackerrank-dataset-creation-methodology.md), helping a customer fill in their own internal security questionnaires or compliance forms is a request for services beyond HackerRank product support. The appropriate guidance is to direct the customer to contact their account manager or support@hackerrank.com for compliance-related documentation that HackerRank can provide, but HackerRank cannot complete the customer's internal compliance forms.",invalid
replied,community,"The Apply tab has been deprecated as part of a platform update. The features previously available in the Apply tab, including job listings, are no longer accessible. 

For practicing coding challenges, you can access the Prepare tab instead. Here you'll find coding challenges organized by topics such as Algorithms, Data Structures, and programming languages like Python, Java, and C++. The Prepare tab contains all the practice coding challenges you need to improve your skills.

All features from the previous navigation structure have been moved to other tabs on the platform to simplify the user experience. If you need further assistance with accessing practice materials, please contact HackerRank Support at help@hackerrank.com.","The support corpus includes a notification document that explicitly states the Apply tab is being deprecated. The document indicates that features from the Home tab remain accessible under other tabs, and references show that coding challenges are now available in the Prepare tab. This directly addresses the user's issue about not being able to see the Apply tab.",product_issue
escalated,Community,"I've reviewed your report that none of the submissions across any challenges are working on the website. This is a critical issue that requires immediate investigation and support.

Based on my review of the support documentation, this appears to be a potential platform-wide issue that needs escalation to our technical team. The documentation references that HackerRank continuously monitors reports to identify widespread or systemic issues affecting multiple users.

Your report indicates a comprehensive submission failure across multiple challenges, which is beyond standard troubleshooting steps (such as closing and reopening the challenge window, trying different browsers, or checking internet connectivity).

I am escalating your ticket to our support team for immediate investigation. They will:

1. Verify whether there is a platform-wide incident or outage
2. Check the HackerRank Status Page (status.hackerrank.com) for any ongoing incidents
3. Investigate the root cause of the submission failures
4. Provide you with updates on the resolution timeline

In the meantime, you can monitor the HackerRank Status Page directly at https://status.hackerrank.com for real-time updates on any platform incidents.

Our support team will be in contact with you shortly to investigate this further.","The ticket describes a comprehensive failure of submissions across all challenges on the platform, which constitutes a potential outage or critical bug affecting core functionality. The retrieved documentation from the Coding Challenges FAQs and general support resources does not provide adequate explanations or remediation steps for a systemic failure of this scope. The support documentation indicates that HackerRank monitors for ""widespread or systemic issues that may affect multiple users"" and directs users to the HackerRank Status Page for ""updates on major platform-wide incidents."" Given the severity and scope of the issue described, this requires direct investigation by the technical support team and cannot be safely addressed through standard troubleshooting. This meets the escalation criteria for insufficient evidence to provide a safe or adequate reply and indicates a potential outage situation.",bug
escalated,interview,"Thank you for reporting this issue. I understand you are facing a blocker during the compatibility check where zoom connectivity is failing, even though all other criteria are matching, which is preventing you from taking your test.

Based on the HackerRank platform documentation, the compatibility check assesses audio/video permissions, internet strength, and other key parameters. For HackerRank Interviews which use Zoom-powered audio and video calls, the following domains must not be blocked in your organization's network:
- zoom.us
- *.zoom.us
- *.*.zoom.us

The error you are experiencing suggests that Zoom connectivity may be blocked or inaccessible. This could be due to network firewall restrictions, browser issues, or organizational security policies.

While the documentation confirms that a compatibility check exists and describes its purpose, it does not provide specific troubleshooting steps for zoom connectivity failures specifically. Given that you have already tried changing settings and system configurations without resolution, I recommend contacting HackerRank support directly at support@hackerrank.com. When you reach out, please include:
- A screenshot of the error message
- Details about your network environment and any firewall/proxy settings
- The browser and operating system you are using
- Whether the Zoom domains listed above are accessible from your network

The support team will be better equipped to diagnose and resolve this specific connectivity issue.","The ticket describes a blocking issue with zoom connectivity during the compatibility check that prevents test access. The retrieved documentation confirms that HackerRank interviews use Zoom for audio/video (from the Audio and Video Calls in Interviews Powered by Zoom article) and that certain Zoom domains must not be blocked in the organization's network (zoom.us, *.zoom.us, *.*.zoom.us). However, the corpus does not provide specific troubleshooting steps for zoom connectivity failures or the specific resolution for this error condition. The documentation points to contacting support@hackerrank.com for issues accessing listed domains or compatibility problems, which is the recommended escalation path documented in the Audio and Video Calls article. Since the user has already tried multiple troubleshooting steps without success and the support documentation is insufficient for a safe resolution without expert investigation, escalation is appropriate.",bug
replied,candidate_support,"Thank you for reaching out. However, I am unable to reschedule your assessment directly. HackerRank does not participate in hiring decisions and is not authorized to reschedule assessments. These decisions are made by your recruiter or hiring team to ensure your organization retains full control over the hiring process.

To request a rescheduled assessment date, please contact the recruiter or hiring team from your company directly. They will review your request due to the unforeseen circumstances and can decide whether to offer you an alternative date to complete the assessment.

If you have technical issues related to the assessment platform, you may also reach out to HackerRank Support at support@hackerrank.com for assistance with platform-related concerns.","The support corpus clearly states that HackerRank does not participate in hiring decisions and is not authorized to reschedule assessments. According to the document ""Ensuring a Great Candidate Experience,"" HackerRank redirects all such requests to the recruiter or hiring team. The recommended workflow shows that candidates should report issues directly to their recruiter or hiring team. The document also indicates that for technical issues, candidates can contact support@hackerrank.com, but assessment rescheduling requests are explicitly outside HackerRank's authority.",product_issue
